Time,X,Y
0.0,0.0,0.4
0.005,0.018420131649909563,0.4182975066499096
0.01,0.036840263299819126,0.43634976329981917
0.015,0.05526039494972869,0.4541567699497287
0.02,0.07368052659963825,0.47171852659963825
0.025,0.09210065824954783,0.48903503324954783
0.03,0.11052078989945738,0.5061062898994574
0.035,0.12894092154936695,0.522932296549367
0.04,0.1473610531992765,0.5395130531992766
0.045,0.16578118484918605,0.555848559849186
0.05,0.18420131649909566,0.5719388164990957
0.055,0.2026214481490052,0.5877838231490052
0.06,0.22104157979891476,0.6033835797989149
0.065,0.23946171144882433,0.6187380864488243
0.07,0.2578818430987339,0.6338473430987339
0.075,0.27630197474864343,0.6487113497486434
0.08,0.294722106398553,0.663330106398553
0.085,0.3131422380484626,0.6777036130484626
0.09,0.3315623696983721,0.6918318696983722
0.095,0.34998250134828174,0.7057148763482817
0.1,0.3684026329981913,0.7193526329981913
0.105,0.38682276464810084,0.7327451396481008
0.11,0.4052428962980104,0.7458923962980105
0.115,0.42366302794792,0.75879440294792
0.12,0.4420831595978295,0.7714511595978295
0.125,0.4605032912477391,0.783862666247739
0.13,0.47892342289764867,0.7960289228976487
0.135,0.49734355454755824,0.8079499295475583
0.14,0.5157636861974678,0.8196256861974678
0.145,0.5341838178473773,0.8310561928473774
0.15,0.5526039494972869,0.8422414494972869
0.155,0.5710240811471965,0.8531814561471965
0.16,0.589444212797106,0.863876212797106
0.165,0.6078643444470156,0.8743257194470156
0.17,0.6262844760969252,0.8845299760969252
0.17500000000000002,0.6447046077468348,0.8944889827468349
0.18,0.6631247393967442,0.9042027393967442
0.185,0.6815448710466538,0.913671246046654
0.19,0.6999650026965635,0.9228945026965635
0.195,0.718385134346473,0.931872509346473
0.2,0.7368052659963826,0.9406052659963825
0.20500000000000002,0.7552253976462922,0.949092772646292
0.21,0.7736455292962017,0.9573350292962016
0.215,0.7920656609461112,0.9653320359461111
0.22,0.8104857925960208,0.9730837925960208
0.225,0.8289059242459303,0.9805902992459303
0.23,0.84732605589584,0.9878515558958401
0.23500000000000001,0.8657461875457495,0.9948675625457496
0.24,0.884166319195659,1.001638319195659
0.245,0.9025864508455685,1.0081638258455687
0.25,0.9210065824954782,1.0144440824954781
0.255,0.9394267141453878,1.0204790891453877
0.26,0.9578468457952973,1.0262688457952973
0.265,0.976266977445207,1.0318133524452069
0.27,0.9946871090951165,1.0371126090951164
0.275,1.0131072407450261,1.0421666157450262
0.28,1.0315273723949356,1.0469753723949358
0.28500000000000003,1.0499475040448452,1.0515388790448452
0.29,1.0683676356947547,1.0558571356947548
0.295,1.0867877673446642,1.0599301423446643
0.3,1.1052078989945737,1.0637578989945737
0.305,1.1236280306444832,1.0673404056444833
0.31,1.142048162294393,1.070677662294393
0.315,1.1604682939443025,1.0737696689443024
0.32,1.178888425594212,1.076616425594212
0.325,1.1973085572441218,1.0792179322441218
0.33,1.2157286888940313,1.0815741888940313
0.335,1.2341488205439408,1.0836851955439408
0.34,1.2525689521938503,1.0855509521938504
0.34500000000000003,1.27098908384376,1.08717145884376
0.35000000000000003,1.2894092154936696,1.0885467154936692
0.355,1.307829347143579,1.089676722143579
0.36,1.3262494787934884,1.0905614787934885
0.365,1.3446696104433982,1.0912009854433982
0.37,1.3630897420933077,1.0915952420933075
0.375,1.3815098737432172,1.091744248743217
0.38,1.399930005393127,1.091648005393127
0.385,1.4183501370430365,1.0913065120430367
0.39,1.436770268692946,1.0907197686929462
0.395,1.4551904003428555,1.0898877753428555
0.4,1.4736105319927653,1.088810531992765
0.405,1.4920306636426748,1.0874880386426744
0.41000000000000003,1.5104507952925843,1.085920295292584
0.41500000000000004,1.5288709269424938,1.0841073019424936
0.42,1.5472910585924033,1.0820490585924034
0.425,1.5657111902423129,1.079745565242313
0.43,1.5841313218922224,1.0771968218922223
0.435,1.602551453542132,1.0744028285421319
0.44,1.6209715851920417,1.0713635851920418
0.445,1.6393917168419512,1.0680790918419514
0.45,1.6578118484918607,1.0645493484918607
0.455,1.6762319801417704,1.0607743551417703
0.46,1.69465211179168,1.0567541117916797
0.465,1.7130722434415895,1.0524886184415891
0.47000000000000003,1.731492375091499,1.0479778750914988
0.47500000000000003,1.7499125067414087,1.0432218817414087
0.48,1.768332638391318,1.038220638391318
0.485,1.7867527700412276,1.0329741450412275
0.49,1.805172901691137,1.027482401691137
0.495,1.8235930333410468,1.0217454083410469
0.5,1.8420131649909564,1.0157631649909564
0.505,1.8604332966408659,1.0095356716408659
0.51,1.8788534282907756,1.0030629282907755
0.515,1.8972735599406851,0.996344934940685
0.52,1.9156936915905947,0.9893816915905944
0.525,1.9341138232405042,0.982173198240504
0.53,1.952533954890414,0.9747194548904139
0.535,1.9709540865403234,0.9670204615403235
0.54,1.989374218190233,0.9590762181902328
0.545,2.0077943498401427,0.9508867248401423
0.55,2.0262144814900522,0.9424519814900518
0.555,2.0446346131399618,0.9337719881399613
0.56,2.0630547447898713,0.924846744789871
0.5650000000000001,2.081474876439781,0.9156762514397803
0.5700000000000001,2.0998950080896903,0.9062605080896897
0.5750000000000001,2.1183151397396,0.8965995147395993
0.58,2.1367352713895094,0.8866932713895093
0.585,2.155155403039419,0.8765417780394189
0.59,2.1735755346893284,0.8661450346893285
0.595,2.191995666339238,0.8555030413392379
0.6,2.2104157979891474,0.8446157979891473
0.605,2.228835929639057,0.8334833046390568
0.61,2.2472560612889665,0.8221055612889663
0.615,2.2656761929388765,0.8104825679388763
0.62,2.284096324588786,0.7986143245887858
0.625,2.3025164562386955,0.7865008312386954
0.63,2.320936587888605,0.7741420878886047
0.635,2.3393567195385145,0.7615380945385144
0.64,2.357776851188424,0.7486888511884238
0.645,2.3761969828383336,0.735594357838333
0.65,2.3946171144882435,0.7222546144882434
0.655,2.413037246138153,0.7086696211381525
0.66,2.4314573777880626,0.6948393777880622
0.665,2.449877509437972,0.6807638844379715
0.67,2.4682976410878816,0.666443141087881
0.675,2.486717772737791,0.6518771477377907
0.68,2.5051379043877007,0.6370659043877
0.685,2.52355803603761,0.6220094110376095
0.6900000000000001,2.54197816768752,0.6067076676875196
0.6950000000000001,2.5603982993374297,0.5911606743374289
0.7000000000000001,2.578818430987339,0.5753684309873384
0.705,2.5972385626372483,0.5593309376372484
0.71,2.615658694287158,0.5430481942871577
0.715,2.6340788259370673,0.5265202009370675
0.72,2.652498957586977,0.5097469575869766
0.725,2.670919089236887,0.49272846423688677
0.73,2.6893392208867963,0.4754647208867966
0.735,2.707759352536706,0.45795572753670566
0.74,2.7261794841866154,0.4402014841866153
0.745,2.744599615836525,0.42220199083652465
0.75,2.7630197474864344,0.40395724748643413
0.755,2.781439879136344,0.38546725413634375
0.76,2.799860010786254,0.3667320107862535
0.765,2.8182801424361634,0.3477515174361634
0.77,2.836700274086073,0.328525774086073
0.775,2.8551204057359825,0.3090547807359818
0.78,2.873540537385892,0.28933853738589166
0.785,2.8919606690358015,0.2693770440358012
0.79,2.910380800685711,0.24917030068571044
0.795,2.9288009323356206,0.22871830733561982
0.8,2.9472210639855305,0.20802106398552977
0.805,2.96564119563544,0.18707857063543942
0.81,2.9840613272853496,0.16589082728534876
0.8150000000000001,3.002481458935259,0.14445783393525868
0.8200000000000001,3.0209015905851686,0.12277959058516785
0.8250000000000001,3.039321722235078,0.10085609723507716
0.8300000000000001,3.0577418538849876,0.07868735388498704
0.835,3.076161985534897,0.056273360534897066
0.84,3.0945821171848067,0.03361411718480678
0.845,3.113002248834716,0.010709623834716187
